,Year,Province,Gender,Cause of death,Total,lat,lng,Country
153921,2018,Newfoundland and Labrador,Males,Chronic lower respiratory diseases ,146.0,53.1355, -57.6604,Canada
153925,2018,Newfoundland and Labrador,Males,Pneumoconioses and chemical effects ,0.0,53.1355, -57.6604,Canada
153929,2018,Newfoundland and Labrador,Males,Pneumonitis due to solids and liquids ,16.0,53.1355, -57.6604,Canada
153933,2018,Newfoundland and Labrador,Males,Peptic ulcer ,0.0,53.1355, -57.6604,Canada
153937,2018,Newfoundland and Labrador,Males,Diseases of appendix ,1.0,53.1355, -57.6604,Canada
153941,2018,Newfoundland and Labrador,Males,Hernia ,4.0,53.1355, -57.6604,Canada
153945,2018,Newfoundland and Labrador,Males,Chronic liver disease and cirrhosis ,34.0,53.1355, -57.6604,Canada
153949,2018,Newfoundland and Labrador,Males,Cholelithiasis and other disorders of gallbladder ,4.0,53.1355, -57.6604,Canada
153953,2018,Newfoundland and Labrador,Males,"Nephritis, nephrotic syndrome and nephrosis ",47.0,53.1355, -57.6604,Canada
153957,2018,Newfoundland and Labrador,Males,Infections of kidney ,0.0,53.1355, -57.6604,Canada
153961,2018,Newfoundland and Labrador,Males,Hyperplasia of prostate ,2.0,53.1355, -57.6604,Canada
153965,2018,Newfoundland and Labrador,Males,Certain conditions originating in the perinatal period ,13.0,53.1355, -57.6604,Canada
153969,2018,Newfoundland and Labrador,Males,"Congenital malformations, deformations and chromosomal abnormalities ",15.0,53.1355, -57.6604,Canada
153977,2018,Newfoundland and Labrador,Males,Accidents (unintentional injuries) ,101.0,53.1355, -57.6604,Canada
153981,2018,Newfoundland and Labrador,Males,Intentional self-harm (suicide) ,60.0,53.1355, -57.6604,Canada
153985,2018,Newfoundland and Labrador,Males,Assault (homicide) ,3.0,53.1355, -57.6604,Canada
153989,2018,Newfoundland and Labrador,Males,Legal intervention ,0.0,53.1355, -57.6604,Canada
153993,2018,Newfoundland and Labrador,Males,Operations of war and their sequelae ,0.0,53.1355, -57.6604,Canada
153997,2018,Newfoundland and Labrador,Males,Complications of medical and surgical care ,2.0,53.1355, -57.6604,Canada
154001,2018,Newfoundland and Labrador,Males,Other causes of death,452.0,53.1355, -57.6604,Canada
154009,2018,Newfoundland and Labrador,Females,Salmonella infections ,0.0,53.1355, -57.6604,Canada
154013,2018,Newfoundland and Labrador,Females,Shigellosis and amoebiasis ,0.0,53.1355, -57.6604,Canada
154017,2018,Newfoundland and Labrador,Females,Tuberculosis ,1.0,53.1355, -57.6604,Canada
154021,2018,Newfoundland and Labrador,Females,Whooping cough ,0.0,53.1355, -57.6604,Canada
154025,2018,Newfoundland and Labrador,Females,Scarlet fever and erysipelas ,0.0,53.1355, -57.6604,Canada
154029,2018,Newfoundland and Labrador,Females,Meningococcal infection ,1.0,53.1355, -57.6604,Canada
154033,2018,Newfoundland and Labrador,Females,Sepsis ,16.0,53.1355, -57.6604,Canada
154037,2018,Newfoundland and Labrador,Females,Syphilis ,0.0,53.1355, -57.6604,Canada
154041,2018,Newfoundland and Labrador,Females,Acute poliomyelitis ,0.0,53.1355, -57.6604,Canada
154045,2018,Newfoundland and Labrador,Females,Arthropod-borne viral encephalitis ,0.0,53.1355, -57.6604,Canada
154049,2018,Newfoundland and Labrador,Females,Measles ,0.0,53.1355, -57.6604,Canada
154053,2018,Newfoundland and Labrador,Females,Viral hepatitis ,0.0,53.1355, -57.6604,Canada
154057,2018,Newfoundland and Labrador,Females,Human immunodeficiency virus ,0.0,53.1355, -57.6604,Canada
154061,2018,Newfoundland and Labrador,Females,Malaria ,0.0,53.1355, -57.6604,Canada
154065,2018,Newfoundland and Labrador,Females,Malignant neoplasms ,689.0,53.1355, -57.6604,Canada
154069,2018,Newfoundland and Labrador,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour ",12.0,53.1355, -57.6604,Canada
154073,2018,Newfoundland and Labrador,Females,Anaemias ,9.0,53.1355, -57.6604,Canada
154077,2018,Newfoundland and Labrador,Females,Diabetes mellitus ,118.0,53.1355, -57.6604,Canada
154081,2018,Newfoundland and Labrador,Females,Nutritional deficiencies ,5.0,53.1355, -57.6604,Canada
154085,2018,Newfoundland and Labrador,Females,Meningitis ,0.0,53.1355, -57.6604,Canada
154089,2018,Newfoundland and Labrador,Females,Parkinson's disease ,29.0,53.1355, -57.6604,Canada
154093,2018,Newfoundland and Labrador,Females,Alzheimer's disease ,40.0,53.1355, -57.6604,Canada
154097,2018,Newfoundland and Labrador,Females,Diseases of heart ,481.0,53.1355, -57.6604,Canada
154101,2018,Newfoundland and Labrador,Females,Essential hypertension and hypertensive renal disease ,34.0,53.1355, -57.6604,Canada
154105,2018,Newfoundland and Labrador,Females,Cerebrovascular diseases ,150.0,53.1355, -57.6604,Canada
154109,2018,Newfoundland and Labrador,Females,Atherosclerosis ,6.0,53.1355, -57.6604,Canada
154113,2018,Newfoundland and Labrador,Females,Aortic aneurysm and dissection ,8.0,53.1355, -57.6604,Canada
154117,2018,Newfoundland and Labrador,Females,Influenza and pneumonia ,82.0,53.1355, -57.6604,Canada
154121,2018,Newfoundland and Labrador,Females,Acute bronchitis and bronchiolitis ,0.0,53.1355, -57.6604,Canada
154125,2018,Newfoundland and Labrador,Females,Chronic lower respiratory diseases ,115.0,53.1355, -57.6604,Canada
154129,2018,Newfoundland and Labrador,Females,Pneumoconioses and chemical effects ,0.0,53.1355, -57.6604,Canada
154133,2018,Newfoundland and Labrador,Females,Pneumonitis due to solids and liquids ,10.0,53.1355, -57.6604,Canada
154137,2018,Newfoundland and Labrador,Females,Peptic ulcer ,1.0,53.1355, -57.6604,Canada
154141,2018,Newfoundland and Labrador,Females,Diseases of appendix ,0.0,53.1355, -57.6604,Canada
154145,2018,Newfoundland and Labrador,Females,Hernia ,1.0,53.1355, -57.6604,Canada
154149,2018,Newfoundland and Labrador,Females,Chronic liver disease and cirrhosis ,20.0,53.1355, -57.6604,Canada
154153,2018,Newfoundland and Labrador,Females,Cholelithiasis and other disorders of gallbladder ,3.0,53.1355, -57.6604,Canada
154157,2018,Newfoundland and Labrador,Females,"Nephritis, nephrotic syndrome and nephrosis ",55.0,53.1355, -57.6604,Canada
154161,2018,Newfoundland and Labrador,Females,Infections of kidney ,2.0,53.1355, -57.6604,Canada
154165,2018,Newfoundland and Labrador,Females,Inflammatory diseases of female pelvic organs ,1.0,53.1355, -57.6604,Canada
154169,2018,Newfoundland and Labrador,Females,"Pregnancy, childbirth and the puerperium ",0.0,53.1355, -57.6604,Canada
154173,2018,Newfoundland and Labrador,Females,Certain conditions originating in the perinatal period ,3.0,53.1355, -57.6604,Canada
154177,2018,Newfoundland and Labrador,Females,"Congenital malformations, deformations and chromosomal abnormalities ",6.0,53.1355, -57.6604,Canada
154185,2018,Newfoundland and Labrador,Females,Accidents (unintentional injuries) ,80.0,53.1355, -57.6604,Canada
154189,2018,Newfoundland and Labrador,Females,Intentional self-harm (suicide) ,12.0,53.1355, -57.6604,Canada
154193,2018,Newfoundland and Labrador,Females,Assault (homicide) ,0.0,53.1355, -57.6604,Canada
154197,2018,Newfoundland and Labrador,Females,Legal intervention ,0.0,53.1355, -57.6604,Canada
154201,2018,Newfoundland and Labrador,Females,Operations of war and their sequelae ,0.0,53.1355, -57.6604,Canada
154205,2018,Newfoundland and Labrador,Females,Complications of medical and surgical care ,4.0,53.1355, -57.6604,Canada
154209,2018,Newfoundland and Labrador,Females,Other causes of death,555.0,53.1355, -57.6604,Canada
154429,2018,Prince Edward Island,Males,Salmonella infections ,0.0,46.5107, -63.4168,Canada
154433,2018,Prince Edward Island,Males,Shigellosis and amoebiasis ,0.0,46.5107, -63.4168,Canada
154437,2018,Prince Edward Island,Males,Tuberculosis ,0.0,46.5107, -63.4168,Canada
154441,2018,Prince Edward Island,Males,Whooping cough ,0.0,46.5107, -63.4168,Canada
154445,2018,Prince Edward Island,Males,Scarlet fever and erysipelas ,0.0,46.5107, -63.4168,Canada
154449,2018,Prince Edward Island,Males,Meningococcal infection ,0.0,46.5107, -63.4168,Canada
154453,2018,Prince Edward Island,Males,Sepsis ,6.0,46.5107, -63.4168,Canada
154457,2018,Prince Edward Island,Males,Syphilis ,0.0,46.5107, -63.4168,Canada
154461,2018,Prince Edward Island,Males,Acute poliomyelitis ,0.0,46.5107, -63.4168,Canada
154465,2018,Prince Edward Island,Males,Arthropod-borne viral encephalitis ,0.0,46.5107, -63.4168,Canada
154469,2018,Prince Edward Island,Males,Measles ,0.0,46.5107, -63.4168,Canada
154473,2018,Prince Edward Island,Males,Viral hepatitis ,0.0,46.5107, -63.4168,Canada
154477,2018,Prince Edward Island,Males,Human immunodeficiency virus ,1.0,46.5107, -63.4168,Canada
154481,2018,Prince Edward Island,Males,Malaria ,0.0,46.5107, -63.4168,Canada
154485,2018,Prince Edward Island,Males,Malignant neoplasms ,208.0,46.5107, -63.4168,Canada
154489,2018,Prince Edward Island,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour ",5.0,46.5107, -63.4168,Canada
154493,2018,Prince Edward Island,Males,Anaemias ,1.0,46.5107, -63.4168,Canada
154497,2018,Prince Edward Island,Males,Diabetes mellitus ,19.0,46.5107, -63.4168,Canada
154501,2018,Prince Edward Island,Males,Nutritional deficiencies ,1.0,46.5107, -63.4168,Canada
154505,2018,Prince Edward Island,Males,Meningitis ,0.0,46.5107, -63.4168,Canada
154509,2018,Prince Edward Island,Males,Parkinson's disease ,8.0,46.5107, -63.4168,Canada
154513,2018,Prince Edward Island,Males,Alzheimer's disease ,5.0,46.5107, -63.4168,Canada
154517,2018,Prince Edward Island,Males,Diseases of heart ,161.0,46.5107, -63.4168,Canada
154521,2018,Prince Edward Island,Males,Essential hypertension and hypertensive renal disease ,1.0,46.5107, -63.4168,Canada
154525,2018,Prince Edward Island,Males,Cerebrovascular diseases ,27.0,46.5107, -63.4168,Canada
154529,2018,Prince Edward Island,Males,Atherosclerosis ,0.0,46.5107, -63.4168,Canada
154533,2018,Prince Edward Island,Males,Aortic aneurysm and dissection ,5.0,46.5107, -63.4168,Canada
154537,2018,Prince Edward Island,Males,Influenza and pneumonia ,24.0,46.5107, -63.4168,Canada
154541,2018,Prince Edward Island,Males,Acute bronchitis and bronchiolitis ,0.0,46.5107, -63.4168,Canada
154545,2018,Prince Edward Island,Males,Chronic lower respiratory diseases ,43.0,46.5107, -63.4168,Canada
154549,2018,Prince Edward Island,Males,Pneumoconioses and chemical effects ,1.0,46.5107, -63.4168,Canada
154553,2018,Prince Edward Island,Males,Pneumonitis due to solids and liquids ,5.0,46.5107, -63.4168,Canada
154557,2018,Prince Edward Island,Males,Peptic ulcer ,4.0,46.5107, -63.4168,Canada
154561,2018,Prince Edward Island,Males,Diseases of appendix ,0.0,46.5107, -63.4168,Canada
154565,2018,Prince Edward Island,Males,Hernia ,0.0,46.5107, -63.4168,Canada
154569,2018,Prince Edward Island,Males,Chronic liver disease and cirrhosis ,13.0,46.5107, -63.4168,Canada
154573,2018,Prince Edward Island,Males,Cholelithiasis and other disorders of gallbladder ,2.0,46.5107, -63.4168,Canada
154577,2018,Prince Edward Island,Males,"Nephritis, nephrotic syndrome and nephrosis ",7.0,46.5107, -63.4168,Canada
154581,2018,Prince Edward Island,Males,Infections of kidney ,1.0,46.5107, -63.4168,Canada
154585,2018,Prince Edward Island,Males,Hyperplasia of prostate ,0.0,46.5107, -63.4168,Canada
154589,2018,Prince Edward Island,Males,Certain conditions originating in the perinatal period ,1.0,46.5107, -63.4168,Canada
154593,2018,Prince Edward Island,Males,"Congenital malformations, deformations and chromosomal abnormalities ",1.0,46.5107, -63.4168,Canada
154601,2018,Prince Edward Island,Males,Accidents (unintentional injuries) ,28.0,46.5107, -63.4168,Canada
154605,2018,Prince Edward Island,Males,Intentional self-harm (suicide) ,6.0,46.5107, -63.4168,Canada
154609,2018,Prince Edward Island,Males,Assault (homicide) ,0.0,46.5107, -63.4168,Canada
154613,2018,Prince Edward Island,Males,Legal intervention ,0.0,46.5107, -63.4168,Canada
154617,2018,Prince Edward Island,Males,Operations of war and their sequelae ,0.0,46.5107, -63.4168,Canada
154621,2018,Prince Edward Island,Males,Complications of medical and surgical care ,3.0,46.5107, -63.4168,Canada
154625,2018,Prince Edward Island,Males,Other causes of death,122.0,46.5107, -63.4168,Canada
154633,2018,Prince Edward Island,Females,Salmonella infections ,0.0,46.5107, -63.4168,Canada
154637,2018,Prince Edward Island,Females,Shigellosis and amoebiasis ,0.0,46.5107, -63.4168,Canada
154641,2018,Prince Edward Island,Females,Tuberculosis ,0.0,46.5107, -63.4168,Canada
154645,2018,Prince Edward Island,Females,Whooping cough ,0.0,46.5107, -63.4168,Canada
154649,2018,Prince Edward Island,Females,Scarlet fever and erysipelas ,0.0,46.5107, -63.4168,Canada
154653,2018,Prince Edward Island,Females,Meningococcal infection ,0.0,46.5107, -63.4168,Canada
154657,2018,Prince Edward Island,Females,Sepsis ,5.0,46.5107, -63.4168,Canada
154661,2018,Prince Edward Island,Females,Syphilis ,0.0,46.5107, -63.4168,Canada
154665,2018,Prince Edward Island,Females,Acute poliomyelitis ,0.0,46.5107, -63.4168,Canada
154669,2018,Prince Edward Island,Females,Arthropod-borne viral encephalitis ,0.0,46.5107, -63.4168,Canada
154673,2018,Prince Edward Island,Females,Measles ,0.0,46.5107, -63.4168,Canada
154677,2018,Prince Edward Island,Females,Viral hepatitis ,0.0,46.5107, -63.4168,Canada
154681,2018,Prince Edward Island,Females,Human immunodeficiency virus ,0.0,46.5107, -63.4168,Canada
154685,2018,Prince Edward Island,Females,Malaria ,0.0,46.5107, -63.4168,Canada
154689,2018,Prince Edward Island,Females,Malignant neoplasms ,175.0,46.5107, -63.4168,Canada
154693,2018,Prince Edward Island,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour ",0.0,46.5107, -63.4168,Canada
154697,2018,Prince Edward Island,Females,Anaemias ,0.0,46.5107, -63.4168,Canada
154701,2018,Prince Edward Island,Females,Diabetes mellitus ,3.0,46.5107, -63.4168,Canada
154705,2018,Prince Edward Island,Females,Nutritional deficiencies ,0.0,46.5107, -63.4168,Canada
154709,2018,Prince Edward Island,Females,Meningitis ,0.0,46.5107, -63.4168,Canada
154713,2018,Prince Edward Island,Females,Parkinson's disease ,8.0,46.5107, -63.4168,Canada
154717,2018,Prince Edward Island,Females,Alzheimer's disease ,3.0,46.5107, -63.4168,Canada
154721,2018,Prince Edward Island,Females,Diseases of heart ,139.0,46.5107, -63.4168,Canada
154725,2018,Prince Edward Island,Females,Essential hypertension and hypertensive renal disease ,3.0,46.5107, -63.4168,Canada
154729,2018,Prince Edward Island,Females,Cerebrovascular diseases ,46.0,46.5107, -63.4168,Canada
154733,2018,Prince Edward Island,Females,Atherosclerosis ,0.0,46.5107, -63.4168,Canada
154737,2018,Prince Edward Island,Females,Aortic aneurysm and dissection ,4.0,46.5107, -63.4168,Canada
154741,2018,Prince Edward Island,Females,Influenza and pneumonia ,22.0,46.5107, -63.4168,Canada
154745,2018,Prince Edward Island,Females,Acute bronchitis and bronchiolitis ,0.0,46.5107, -63.4168,Canada
154749,2018,Prince Edward Island,Females,Chronic lower respiratory diseases ,36.0,46.5107, -63.4168,Canada
154753,2018,Prince Edward Island,Females,Pneumoconioses and chemical effects ,0.0,46.5107, -63.4168,Canada
154757,2018,Prince Edward Island,Females,Pneumonitis due to solids and liquids ,2.0,46.5107, -63.4168,Canada
154761,2018,Prince Edward Island,Females,Peptic ulcer ,0.0,46.5107, -63.4168,Canada
154765,2018,Prince Edward Island,Females,Diseases of appendix ,0.0,46.5107, -63.4168,Canada
154769,2018,Prince Edward Island,Females,Hernia ,2.0,46.5107, -63.4168,Canada
154773,2018,Prince Edward Island,Females,Chronic liver disease and cirrhosis ,7.0,46.5107, -63.4168,Canada
154777,2018,Prince Edward Island,Females,Cholelithiasis and other disorders of gallbladder ,4.0,46.5107, -63.4168,Canada
154781,2018,Prince Edward Island,Females,"Nephritis, nephrotic syndrome and nephrosis ",10.0,46.5107, -63.4168,Canada
154785,2018,Prince Edward Island,Females,Infections of kidney ,0.0,46.5107, -63.4168,Canada
154789,2018,Prince Edward Island,Females,Inflammatory diseases of female pelvic organs ,0.0,46.5107, -63.4168,Canada
154793,2018,Prince Edward Island,Females,"Pregnancy, childbirth and the puerperium ",1.0,46.5107, -63.4168,Canada
154797,2018,Prince Edward Island,Females,Certain conditions originating in the perinatal period ,4.0,46.5107, -63.4168,Canada
154801,2018,Prince Edward Island,Females,"Congenital malformations, deformations and chromosomal abnormalities ",4.0,46.5107, -63.4168,Canada
154809,2018,Prince Edward Island,Females,Accidents (unintentional injuries) ,19.0,46.5107, -63.4168,Canada
154813,2018,Prince Edward Island,Females,Intentional self-harm (suicide) ,1.0,46.5107, -63.4168,Canada
154817,2018,Prince Edward Island,Females,Assault (homicide) ,0.0,46.5107, -63.4168,Canada
154821,2018,Prince Edward Island,Females,Legal intervention ,0.0,46.5107, -63.4168,Canada
154825,2018,Prince Edward Island,Females,Operations of war and their sequelae ,0.0,46.5107, -63.4168,Canada
154829,2018,Prince Edward Island,Females,Complications of medical and surgical care ,0.0,46.5107, -63.4168,Canada
154833,2018,Prince Edward Island,Females,Other causes of death,168.0,46.5107, -63.4168,Canada
155053,2018,Nova Scotia,Males,Salmonella infections ,0.0,44.6820, -63.7443,Canada
155057,2018,Nova Scotia,Males,Shigellosis and amoebiasis ,0.0,44.6820, -63.7443,Canada
155061,2018,Nova Scotia,Males,Tuberculosis ,1.0,44.6820, -63.7443,Canada
155065,2018,Nova Scotia,Males,Whooping cough ,0.0,44.6820, -63.7443,Canada
155069,2018,Nova Scotia,Males,Scarlet fever and erysipelas ,0.0,44.6820, -63.7443,Canada
155073,2018,Nova Scotia,Males,Meningococcal infection ,0.0,44.6820, -63.7443,Canada
155077,2018,Nova Scotia,Males,Sepsis ,21.0,44.6820, -63.7443,Canada
155081,2018,Nova Scotia,Males,Syphilis ,0.0,44.6820, -63.7443,Canada
155085,2018,Nova Scotia,Males,Acute poliomyelitis ,0.0,44.6820, -63.7443,Canada
155089,2018,Nova Scotia,Males,Arthropod-borne viral encephalitis ,0.0,44.6820, -63.7443,Canada
155093,2018,Nova Scotia,Males,Measles ,0.0,44.6820, -63.7443,Canada
155097,2018,Nova Scotia,Males,Viral hepatitis ,2.0,44.6820, -63.7443,Canada
155101,2018,Nova Scotia,Males,Human immunodeficiency virus ,0.0,44.6820, -63.7443,Canada
155105,2018,Nova Scotia,Males,Malaria ,0.0,44.6820, -63.7443,Canada
155109,2018,Nova Scotia,Males,Malignant neoplasms ,1439.0,44.6820, -63.7443,Canada
155113,2018,Nova Scotia,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour ",41.0,44.6820, -63.7443,Canada
155117,2018,Nova Scotia,Males,Anaemias ,12.0,44.6820, -63.7443,Canada
155121,2018,Nova Scotia,Males,Diabetes mellitus ,168.0,44.6820, -63.7443,Canada
155125,2018,Nova Scotia,Males,Nutritional deficiencies ,0.0,44.6820, -63.7443,Canada
155129,2018,Nova Scotia,Males,Meningitis ,1.0,44.6820, -63.7443,Canada
155133,2018,Nova Scotia,Males,Parkinson's disease ,64.0,44.6820, -63.7443,Canada
155137,2018,Nova Scotia,Males,Alzheimer's disease ,74.0,44.6820, -63.7443,Canada
155141,2018,Nova Scotia,Males,Diseases of heart ,1031.0,44.6820, -63.7443,Canada
155145,2018,Nova Scotia,Males,Essential hypertension and hypertensive renal disease ,26.0,44.6820, -63.7443,Canada
155149,2018,Nova Scotia,Males,Cerebrovascular diseases ,216.0,44.6820, -63.7443,Canada
155153,2018,Nova Scotia,Males,Atherosclerosis ,0.0,44.6820, -63.7443,Canada
155157,2018,Nova Scotia,Males,Aortic aneurysm and dissection ,48.0,44.6820, -63.7443,Canada
155161,2018,Nova Scotia,Males,Influenza and pneumonia ,86.0,44.6820, -63.7443,Canada
155165,2018,Nova Scotia,Males,Acute bronchitis and bronchiolitis ,0.0,44.6820, -63.7443,Canada
155169,2018,Nova Scotia,Males,Chronic lower respiratory diseases ,265.0,44.6820, -63.7443,Canada
155173,2018,Nova Scotia,Males,Pneumoconioses and chemical effects ,6.0,44.6820, -63.7443,Canada
155177,2018,Nova Scotia,Males,Pneumonitis due to solids and liquids ,15.0,44.6820, -63.7443,Canada
155181,2018,Nova Scotia,Males,Peptic ulcer ,8.0,44.6820, -63.7443,Canada
155185,2018,Nova Scotia,Males,Diseases of appendix ,1.0,44.6820, -63.7443,Canada
155189,2018,Nova Scotia,Males,Hernia ,6.0,44.6820, -63.7443,Canada
155193,2018,Nova Scotia,Males,Chronic liver disease and cirrhosis ,78.0,44.6820, -63.7443,Canada
155197,2018,Nova Scotia,Males,Cholelithiasis and other disorders of gallbladder ,12.0,44.6820, -63.7443,Canada
155201,2018,Nova Scotia,Males,"Nephritis, nephrotic syndrome and nephrosis ",35.0,44.6820, -63.7443,Canada
155205,2018,Nova Scotia,Males,Infections of kidney ,1.0,44.6820, -63.7443,Canada
155209,2018,Nova Scotia,Males,Hyperplasia of prostate ,9.0,44.6820, -63.7443,Canada
155213,2018,Nova Scotia,Males,Certain conditions originating in the perinatal period ,6.0,44.6820, -63.7443,Canada
155217,2018,Nova Scotia,Males,"Congenital malformations, deformations and chromosomal abnormalities ",18.0,44.6820, -63.7443,Canada
155225,2018,Nova Scotia,Males,Accidents (unintentional injuries) ,247.0,44.6820, -63.7443,Canada
155229,2018,Nova Scotia,Males,Intentional self-harm (suicide) ,98.0,44.6820, -63.7443,Canada
155233,2018,Nova Scotia,Males,Assault (homicide) ,9.0,44.6820, -63.7443,Canada
155237,2018,Nova Scotia,Males,Legal intervention ,0.0,44.6820, -63.7443,Canada
155241,2018,Nova Scotia,Males,Operations of war and their sequelae ,0.0,44.6820, -63.7443,Canada
155245,2018,Nova Scotia,Males,Complications of medical and surgical care ,3.0,44.6820, -63.7443,Canada
155249,2018,Nova Scotia,Males,Other causes of death,875.0,44.6820, -63.7443,Canada
155257,2018,Nova Scotia,Females,Salmonella infections ,0.0,44.6820, -63.7443,Canada
155261,2018,Nova Scotia,Females,Shigellosis and amoebiasis ,0.0,44.6820, -63.7443,Canada
155265,2018,Nova Scotia,Females,Tuberculosis ,0.0,44.6820, -63.7443,Canada
155269,2018,Nova Scotia,Females,Whooping cough ,0.0,44.6820, -63.7443,Canada
155273,2018,Nova Scotia,Females,Scarlet fever and erysipelas ,0.0,44.6820, -63.7443,Canada
155277,2018,Nova Scotia,Females,Meningococcal infection ,0.0,44.6820, -63.7443,Canada
155281,2018,Nova Scotia,Females,Sepsis ,27.0,44.6820, -63.7443,Canada
155285,2018,Nova Scotia,Females,Syphilis ,0.0,44.6820, -63.7443,Canada
155289,2018,Nova Scotia,Females,Acute poliomyelitis ,0.0,44.6820, -63.7443,Canada
155293,2018,Nova Scotia,Females,Arthropod-borne viral encephalitis ,0.0,44.6820, -63.7443,Canada
155297,2018,Nova Scotia,Females,Measles ,0.0,44.6820, -63.7443,Canada
155301,2018,Nova Scotia,Females,Viral hepatitis ,2.0,44.6820, -63.7443,Canada
155305,2018,Nova Scotia,Females,Human immunodeficiency virus ,0.0,44.6820, -63.7443,Canada
155309,2018,Nova Scotia,Females,Malaria ,0.0,44.6820, -63.7443,Canada
155313,2018,Nova Scotia,Females,Malignant neoplasms ,1244.0,44.6820, -63.7443,Canada
155317,2018,Nova Scotia,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour ",32.0,44.6820, -63.7443,Canada
155321,2018,Nova Scotia,Females,Anaemias ,13.0,44.6820, -63.7443,Canada
155325,2018,Nova Scotia,Females,Diabetes mellitus ,118.0,44.6820, -63.7443,Canada
155329,2018,Nova Scotia,Females,Nutritional deficiencies ,4.0,44.6820, -63.7443,Canada
155333,2018,Nova Scotia,Females,Meningitis ,1.0,44.6820, -63.7443,Canada
155337,2018,Nova Scotia,Females,Parkinson's disease ,50.0,44.6820, -63.7443,Canada
155341,2018,Nova Scotia,Females,Alzheimer's disease ,175.0,44.6820, -63.7443,Canada
155345,2018,Nova Scotia,Females,Diseases of heart ,747.0,44.6820, -63.7443,Canada
155349,2018,Nova Scotia,Females,Essential hypertension and hypertensive renal disease ,31.0,44.6820, -63.7443,Canada
155353,2018,Nova Scotia,Females,Cerebrovascular diseases ,320.0,44.6820, -63.7443,Canada
155357,2018,Nova Scotia,Females,Atherosclerosis ,10.0,44.6820, -63.7443,Canada
155361,2018,Nova Scotia,Females,Aortic aneurysm and dissection ,31.0,44.6820, -63.7443,Canada
155365,2018,Nova Scotia,Females,Influenza and pneumonia ,139.0,44.6820, -63.7443,Canada
